case	rows	batch	fanout	engine	repetition	state	source	metric	value	unit	unavailable_reason
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	affected_rows	414		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	checksum	81af54948d2908638d9ff9b48aa611cfd8f169f326d0dd267c58460ae256a0dd		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	input_hash	7df37ee2bf30af72f0d446e28809396f3292f1fa3be15674300a24274885b219		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	output_bytes	1540		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	output_rows	228		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	query_compute_ms	0.055084		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	state	initial		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	update_plus_query_ms	13.029418000000001		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	update_transaction_ms	12.974334		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	initial	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	affected_rows	1		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	checksum	81af54948d2908638d9ff9b48aa611cfd8f169f326d0dd267c58460ae256a0dd		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	input_hash	8e046fe80cd28b971886f928628610ea7cf24eb58c823192deafb5892e2fee1b		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	output_bytes	1540		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	output_rows	228		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	query_compute_ms	0.046042		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	state	duplicate_support		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	update_plus_query_ms	0.196584		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	update_transaction_ms	0.150542		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	duplicate_support	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	retract_one_support	receipt	affected_rows	1		
