suite	case	engine	status	states	reason
circuits	pipeline	sqlite-ivm	ok	13	
circuits	pipeline	dd	ok	13	
circuits	pipeline	prolog	ok	13	
circuits	pipeline	pg-ivm	ok	13	
circuits	pipeline	pg-query	ok	13	
circuits	pipeline	sqlite-query	ok	13	
circuits	pipeline	pglite-ivm	ok	13	
circuits	pipeline	pglite-query	ok	13	
circuits	fanout_fanin	sqlite-ivm	ok	13	
circuits	fanout_fanin	dd	ok	13	
circuits	fanout_fanin	prolog	ok	13	
circuits	fanout_fanin	pg-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	fanout_fanin	pg-query	ok	13	
circuits	fanout_fanin	sqlite-query	ok	13	
circuits	fanout_fanin	pglite-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	fanout_fanin	pglite-query	ok	13	
circuits	distinct	sqlite-ivm	ok	13	
circuits	distinct	dd	ok	13	
circuits	distinct	prolog	ok	13	
circuits	distinct	pg-ivm	ok	13	
circuits	distinct	pg-query	ok	13	
circuits	distinct	sqlite-query	ok	13	
circuits	distinct	pglite-ivm	ok	13	
circuits	distinct	pglite-query	ok	13	
circuits	join	sqlite-ivm	ok	13	
circuits	join	dd	ok	13	
circuits	join	prolog	ok	13	
circuits	join	pg-ivm	ok	13	
circuits	join	pg-query	ok	13	
circuits	join	sqlite-query	ok	13	
circuits	join	pglite-ivm	ok	13	
circuits	join	pglite-query	ok	13	
circuits	self_join	sqlite-ivm	ok	13	
circuits	self_join	dd	ok	13	
circuits	self_join	prolog	ok	13	
circuits	self_join	pg-ivm	ok	13	
circuits	self_join	pg-query	ok	13	
circuits	self_join	sqlite-query	ok	13	
circuits	self_join	pglite-ivm	ok	13	
circuits	self_join	pglite-query	ok	13	
circuits	chain	sqlite-ivm	ok	13	
circuits	chain	dd	ok	13	
circuits	chain	prolog	ok	13	
circuits	chain	pg-ivm	ok	13	
circuits	chain	pg-query	ok	13	
circuits	chain	sqlite-query	ok	13	
circuits	chain	pglite-ivm	ok	13	
circuits	chain	pglite-query	ok	13	
circuits	diamond	sqlite-ivm	ok	13	
circuits	diamond	dd	ok	13	
circuits	diamond	prolog	ok	13	
circuits	diamond	pg-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	diamond	pg-query	ok	13	
circuits	diamond	sqlite-query	ok	13	
circuits	diamond	pglite-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	diamond	pglite-query	ok	13	
circuits	semijoin	sqlite-ivm	ok	13	
circuits	semijoin	dd	ok	13	
circuits	semijoin	prolog	ok	13	
circuits	semijoin	pg-ivm	ok	13	
circuits	semijoin	pg-query	ok	13	
circuits	semijoin	sqlite-query	ok	13	
circuits	semijoin	pglite-ivm	ok	13	
circuits	semijoin	pglite-query	ok	13	
circuits	antijoin	sqlite-ivm	ok	13	
circuits	antijoin	dd	ok	13	
circuits	antijoin	prolog	ok	13	
circuits	antijoin	pg-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
circuits	antijoin	pg-query	ok	13	
circuits	antijoin	sqlite-query	ok	13	
circuits	antijoin	pglite-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
circuits	antijoin	pglite-query	ok	13	
circuits	aggregate_churn	sqlite-ivm	ok	13	
circuits	aggregate_churn	dd	ok	13	
circuits	aggregate_churn	prolog	ok	13	
circuits	aggregate_churn	pg-ivm	ok	13	
circuits	aggregate_churn	pg-query	ok	13	
circuits	aggregate_churn	sqlite-query	ok	13	
circuits	aggregate_churn	pglite-ivm	ok	13	
circuits	aggregate_churn	pglite-query	ok	13	
circuits	reach_cycle	sqlite-ivm	ok	13	
circuits	reach_cycle	dd	ok	13	
circuits	reach_cycle	prolog	ok	13	
circuits	reach_cycle	pg-ivm	unsupported	0	recursive query is not supported on incrementally maintainable materialized view
circuits	reach_cycle	pg-query	ok	13	
circuits	reach_cycle	sqlite-query	ok	13	
circuits	reach_cycle	pglite-ivm	unsupported	0	recursive query is not supported on incrementally maintainable materialized view
circuits	reach_cycle	pglite-query	ok	13	
circuits	minmax	sqlite-ivm	ok	13	
circuits	minmax	dd	ok	13	
circuits	minmax	prolog	ok	13	
circuits	minmax	pg-ivm	ok	13	
circuits	minmax	pg-query	ok	13	
circuits	minmax	sqlite-query	ok	13	
circuits	minmax	pglite-ivm	ok	13	
circuits	minmax	pglite-query	ok	13	
circuits	count_distinct	sqlite-ivm	ok	13	
circuits	count_distinct	dd	ok	13	
circuits	count_distinct	prolog	ok	13	
circuits	count_distinct	pg-ivm	unsupported	0	aggregate function with DISTINCT arguments is not supported on incrementally maintainable materialized view
circuits	count_distinct	pg-query	ok	13	
circuits	count_distinct	sqlite-query	ok	13	
circuits	count_distinct	pglite-ivm	unsupported	0	aggregate function with DISTINCT arguments is not supported on incrementally maintainable materialized view
circuits	count_distinct	pglite-query	ok	13	
circuits	union_set	sqlite-ivm	ok	13	
circuits	union_set	dd	ok	13	
circuits	union_set	prolog	ok	13	
circuits	union_set	pg-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	union_set	pg-query	ok	13	
circuits	union_set	sqlite-query	ok	13	
circuits	union_set	pglite-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	union_set	pglite-query	ok	13	
circuits	except_set	sqlite-ivm	ok	13	
circuits	except_set	dd	ok	13	
circuits	except_set	prolog	ok	13	
circuits	except_set	pg-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	except_set	pg-query	ok	13	
circuits	except_set	sqlite-query	ok	13	
circuits	except_set	pglite-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	except_set	pglite-query	ok	13	
circuits	intersect_set	sqlite-ivm	ok	13	
circuits	intersect_set	dd	ok	13	
circuits	intersect_set	prolog	ok	13	
circuits	intersect_set	pg-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	intersect_set	pg-query	ok	13	
circuits	intersect_set	sqlite-query	ok	13	
circuits	intersect_set	pglite-ivm	unsupported	0	UNION/INTERSECT/EXCEPT statements are not supported on incrementally maintainable materialized view
circuits	intersect_set	pglite-query	ok	13	
circuits	topk	sqlite-ivm	ok	13	
circuits	topk	dd	ok	13	
circuits	topk	prolog	ok	13	
circuits	topk	pg-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
circuits	topk	pg-query	ok	13	
circuits	topk	sqlite-query	ok	13	
circuits	topk	pglite-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
circuits	topk	pglite-query	ok	13	
circuits	window_rank	sqlite-ivm	ok	13	
circuits	window_rank	dd	ok	13	
circuits	window_rank	prolog	ok	13	
circuits	window_rank	pg-ivm	unsupported	0	window functions are not supported on incrementally maintainable materialized view
circuits	window_rank	pg-query	ok	13	
circuits	window_rank	sqlite-query	ok	13	
circuits	window_rank	pglite-ivm	unsupported	0	window functions are not supported on incrementally maintainable materialized view
circuits	window_rank	pglite-query	ok	13	
circuits	subquery	sqlite-ivm	ok	13	
circuits	subquery	dd	ok	13	
circuits	subquery	prolog	ok	13	
circuits	subquery	pg-ivm	ok	13	
circuits	subquery	pg-query	ok	13	
circuits	subquery	sqlite-query	ok	13	
circuits	subquery	pglite-ivm	ok	13	
circuits	subquery	pglite-query	ok	13	
circuits	cte	sqlite-ivm	ok	13	
circuits	cte	dd	ok	13	
circuits	cte	prolog	ok	13	
circuits	cte	pg-ivm	ok	13	
circuits	cte	pg-query	ok	13	
circuits	cte	sqlite-query	ok	13	
circuits	cte	pglite-ivm	ok	13	
circuits	cte	pglite-query	ok	13	
typed	right_join	sqlite-ivm	ok	174	
typed	right_join	dd	ok	174	
typed	right_join	prolog	ok	174	
typed	right_join	pg-ivm	ok	174	
typed	right_join	pg-query	ok	174	
typed	right_join	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
