rows	batch_size	arm	repetitions	setup_ms_median	six_updates_transaction_ms_median	six_queries_readback_ms_median	six_client_transfers_ms_median	six_checksums_ms_median	case_wall_ms_median	process_wall_ms_median	pglite_js_wasm_peak_rss_kb_max	native_backend_peak_rss_kb_max	native_client_peak_rss_kb_max
400	1	native-pg_ivm	3	8.906	4.700	4.890	4.394	0.439	35.287	88.700	0	20208	60224
400	1	native-query	3	5.297	1.464	7.290	4.157	0.472	36.526	96.058	0	19424	60112
400	1	pglite-pg_ivm	3	27.883	11.447	9.811	9.687	0.441	47.139	1104.609	1333968	0	0
400	1	pglite-query	3	13.936	3.349	11.796	9.360	0.454	42.278	1095.517	1362384	0	0
400	10	native-pg_ivm	3	9.637	7.048	6.471	3.487	0.465	40.752	97.246	0	23216	62208
400	10	native-query	3	5.945	2.040	7.126	3.486	0.492	37.149	97.491	0	19744	61344
400	10	pglite-pg_ivm	3	27.563	14.483	12.593	9.522	0.465	54.609	1270.166	1332960	0	0
400	10	pglite-query	3	13.393	4.261	13.161	10.329	0.497	48.426	1152.052	1369584	0	0
12000	10	native-pg_ivm	3	56.466	7.089	13.503	35.090	7.807	160.361	262.876	0	33232	93040
12000	10	native-query	3	42.369	2.636	33.739	34.704	8.355	180.781	277.654	0	31152	95968
12000	10	pglite-pg_ivm	3	122.169	17.442	26.239	133.703	8.125	288.625	1467.104	1349744	0	0
12000	10	pglite-query	3	87.075	4.302	65.847	133.345	7.416	325.215	1434.982	1339584	0	0
12000	100	native-pg_ivm	3	55.467	17.811	14.602	34.962	8.627	175.242	275.348	0	33920	96768
12000	100	native-query	3	45.317	3.453	32.755	35.288	8.280	180.821	289.827	0	30016	98432
12000	100	pglite-pg_ivm	3	120.022	35.603	27.286	131.762	8.455	307.523	1495.113	1358112	0	0
12000	100	pglite-query	3	88.234	5.997	66.609	131.391	7.320	325.103	1472.736	1358560	0	0
160000	100	native-pg_ivm	3	690.051	31.591	25.520	55.207	12.484	444.753	1202.912	0	71152	122864
160000	100	native-query	3	578.893	3.158	231.778	49.738	11.124	599.294	1267.922	0	70176	120880
160000	100	pglite-pg_ivm	3	1125.498	44.386	36.921	197.909	14.541	592.093	2857.615	1345184	0	0
160000	100	pglite-query	3	966.142	7.871	494.851	194.523	14.957	1106.965	3263.491	1366864	0	0
160000	1000	native-pg_ivm	3	846.587	142.908	24.753	62.664	14.184	551.695	1480.294	0	72352	145216
160000	1000	native-query	3	622.258	12.696	246.861	58.725	13.166	643.269	1409.451	0	66624	145872
160000	1000	pglite-pg_ivm	3	1216.893	284.618	63.482	236.609	19.004	926.386	3397.885	1376672	0	0
160000	1000	pglite-query	3	957.717	23.143	500.927	207.124	16.409	1139.428	3258.109	1329424	0	0
