circuit	fanout	n	rep	arm	wall_ms	insert_ms	delete_ms	update_ms	replace_ms	recompute_ms	peak_rss_mib	disk_read_bytes	disk_write_bytes	db_bytes	arrangement_rows	ivm_over_dd
chain	1	1000	0	sqlite-ivm	82.4	0.4	0.4	0.8	15.9	0.2	4.3	53248	7168000	598016	18	29.243
chain	1	1000	0	sqlite-query	17.2	0.0	0.0	0.0	2.6	0.5	0.0	0	2494464	163840	0	
chain	1	1000	0	dd	2.8	0.0	0.0	0.0	0.2	0.0	3.2	81920	0	0	0	
chain	1	10000	0	sqlite-ivm	364.4	2.0	2.0	4.0	32.3	3.5	14.3	49152	26468352	4354048	18	104.264
chain	1	10000	0	sqlite-query	29.3	0.0	0.0	0.0	2.8	7.6	0.3	0	4542464	1097728	0	
chain	1	10000	0	dd	3.5	0.0	0.0	0.0	0.2	0.3	3.9	0	0	0	0	
chain	1	100000	0	sqlite-ivm	3284.6	20.2	19.8	40.2	54.0	20.8	105.8	126976	218419200	46985216	18	514.662
chain	1	100000	0	sqlite-query	164.0	0.0	0.0	0.0	2.9	158.4	2.4	28672	32137216	12115968	0	
chain	1	100000	0	dd	6.4	0.0	0.0	0.0	0.2	3.8	60.7	0	0	0	0	
chain	10	1000	0	sqlite-ivm	2113.2	4.2	14.8	17.2	260.7	20.3	0.0	86016	58044416	4861952	18	31.945
chain	10	1000	0	sqlite-query	552.4	0.0	0.0	0.0	2.7	27.3	0.0	0	2457600	151552	0	
chain	10	1000	0	dd	66.2	0.0	0.0	0.0	0.2	3.2	0.0	0	0	0	0	
chain	10	10000	0	sqlite-ivm	13084.5	55.1	67.0	117.9	2642.4	280.5	211.6	47534080	721100800	53088256	18	105.796
chain	10	10000	0	sqlite-query	1137.2	0.0	0.0	0.0	3.0	376.8	71.6	8192	4583424	1085440	0	
chain	10	10000	0	dd	123.7	0.0	0.0	0.0	0.2	40.5	178.3	0	0	0	0	
chain	10	100000	0	sqlite-ivm	28896.9	150.0	153.8	292.9	868.5	4161.9	1057.2	2137071616	2436919296	590868480	18	61.629
chain	10	100000	0	sqlite-query	4011.2	0.0	0.0	0.0	5.9	4002.5	249.0	12288	33484800	11247616	0	
chain	10	100000	0	dd	468.9	0.0	0.0	0.0	0.2	466.0	469.2	278528	0	0	0	
join	1	1000	0	sqlite-ivm	102.2	0.3	0.3	0.6	25.7	1.4	0.0	118784	9097216	733184	11	14.249
join	1	1000	0	sqlite-query	46.6	0.0	0.0	0.0	2.8	2.0	0.0	0	2494464	163840	0	
join	1	1000	0	dd	7.2	0.0	0.0	0.0	0.3	0.3	0.0	0	0	0	0	
join	1	10000	0	sqlite-ivm	180.4	1.1	0.9	1.9	17.4	1.8	0.0	40960	17772544	3178496	11	72.889
join	1	10000	0	sqlite-query	15.8	0.0	0.0	0.0	2.8	3.1	0.0	0	4542464	1097728	0	
join	1	10000	0	dd	2.5	0.0	0.0	0.0	0.1	0.3	0.0	0	0	0	0	
