# platform	test	seconds
# written by scripts/timeout-rail-record.sh
Darwin arm64	sqlite-ivm::10_growth::drain_spans_stay_linear_in_changed_rows	0.064
Darwin arm64	sqlite-ivm::10_growth::drain_statement_costs_match_the_pinned_counts	0.048
Darwin arm64	sqlite-ivm::10_growth::group_limit_entries_stay_constant_in_input_multiplicity	0.014
Darwin arm64	sqlite-ivm::10_growth::phase_and_cost_growth_classes_hold	0.084
Darwin arm64	sqlite-ivm::11_intern::dropping_the_view_drops_its_dictionary	0.011
Darwin arm64	sqlite-ivm::11_intern::hashing_the_identity_keeps_one_arrangement_row_per_composite	0.015
Darwin arm64	sqlite-ivm::11_intern::interning_is_injective_and_resolve_round_trips_the_corpus	0.011
Darwin arm64	sqlite-ivm::11_intern::re_interning_adds_no_row_and_moves_no_id	0.010
Darwin arm64	sqlite-ivm::11_intern::the_identity_splits_where_the_key_folds_and_joins_where_unique_would_split	0.008
Darwin arm64	sqlite-ivm::11_intern::the_row_hash_is_the_published_fnv1a_64_vector	0.008
Darwin arm64	sqlite-ivm::12_compass::compass_passes_in_process	0.031
Darwin arm64	sqlite-ivm::12_compass::compass_passes_through_the_cli	0.007
Darwin arm64	sqlite-ivm::13_statements_per_drain::statements_per_drain_do_not_grow_with_the_batch	0.096
Darwin arm64	sqlite-ivm::1_maintenance::columns_used_only_by_filters_are_checked_at_install_and_on_writes	0.014
Darwin arm64	sqlite-ivm::1_maintenance::composite_keys_isolate_partial_matches_and_maintain_moves_on_both_sides	0.046
Darwin arm64	sqlite-ivm::1_maintenance::deterministic_mutations_match_original_join_after_every_statement	0.411
Darwin arm64	sqlite-ivm::1_maintenance::drop_uses_exact_catalog_ownership_and_rejects_missing_or_changed_objects	0.014
Darwin arm64	sqlite-ivm::1_maintenance::failed_drop_restores_objects_metadata_and_caller_transaction	0.022
Darwin arm64	sqlite-ivm::1_maintenance::filters_cover_all_four_update_transitions_from_both_join_sides	0.018
Darwin arm64	sqlite-ivm::1_maintenance::install_failure_rolls_back_created_objects_and_preserves_caller_transaction	0.016
