feature	strategy	crates_added	binary_bytes	build_secs_off	build_secs_on	peak_rss_bytes	disk_write_bytes	disk_read_bytes	wall_ms_off	wall_ms_on	pct_cost	events_per_sec	verdict	notes
fmt	immediate	0	+236048	4.75,4.76,4.63	6.22,6.43,5.27	+622592	+0	+0	7.43,6.70,9.64	27.28,26.98,25.62	+2.634	741158	cost	formatter to a null writer, so formatting is priced and terminal I/O is not
fmt	drain	0	+236048	4.75,4.76,4.63	6.22,6.43,5.27	+622592	+0	+0	6.07,10.44,10.61	26.09,25.48,26.06	+1.496	767346	cost	formatter to a null writer, so formatting is priced and terminal I/O is not
fmt	on-commit	0	+236048	4.75,4.76,4.63	6.22,6.43,5.27	+688128	+0	+0	7.13,6.10,6.10	25.21,31.00,26.75	+3.383	747808	cost	formatter to a null writer, so formatting is priced and terminal I/O is not
chrome	immediate	4	+828192	4.35,4.87,4.58	5.50,5.69,5.50	+35028992	+0	+0	6.92,7.22,7.30	29.29,27.30,27.78	+2.850	719838	cost	timeline file under the lane target dir; the layer writes JSON from its own thread
chrome	drain	4	+828192	4.35,4.87,4.58	5.50,5.69,5.50	+34324480	+0	+0	6.62,6.21,7.28	26.40,29.22,29.24	+3.414	684408	cost	timeline file under the lane target dir; the layer writes JSON from its own thread
chrome	on-commit	4	+828192	4.35,4.87,4.58	5.50,5.69,5.50	+31490048	+0	+0	7.85,6.56,8.26	30.66,27.41,28.15	+2.586	710366	cost	timeline file under the lane target dir; the layer writes JSON from its own thread
otlp-trace	immediate	224	+2078768	4.64,4.62,4.51	5.88,5.61,5.65	+23953408	+0	+0	6.11,6.79,6.16	73.33,49.06,48.43	+6.959	407654	cost	no collector is listening, so the exporter's batches fail; the row prices the layer plus a failing exporter
otlp-trace	drain	224	+2078768	4.64,4.62,4.51	5.88,5.61,5.65	+26034176	+0	+0	6.21,6.00,6.05	76.49,56.55,50.42	+8.340	353700	cost	no collector is listening, so the exporter's batches fail; the row prices the layer plus a failing exporter
otlp-trace	on-commit	224	+2078768	4.64,4.62,4.51	5.88,5.61,5.65	+25624576	+0	+0	6.82,6.16,6.10	46.91,85.29,61.95	+9.052	322854	cost	no collector is listening, so the exporter's batches fail; the row prices the layer plus a failing exporter
otlp-metrics	immediate	3	+749664	5.43,5.76,5.68	6.00,5.94,6.03	+5603328	+0	+0	38.07,36.98,34.82	50.38,45.98,50.02	+0.352	399884	cost	same failing exporter on the metrics signal path
otlp-metrics	drain	3	+749664	5.43,5.76,5.68	6.00,5.94,6.03	+2211840	+0	+0	38.30,36.10,35.91	44.92,43.45,46.45	+0.244	445218	cost	same failing exporter on the metrics signal path
otlp-metrics	on-commit	3	+749664	5.43,5.76,5.68	6.00,5.94,6.03	+3457024	+0	+0	35.68,35.77,35.92	42.75,44.17,41.22	+0.195	467807	cost	same failing exporter on the metrics signal path
sysmetrics	immediate	21	+196752	5.98,6.07,5.89	6.17,6.23,6.28	+4210688	+0	+0	43.91,46.04,42.22	46.26,48.36,44.83	+0.053	432340	in the noise	the bought observer runs on its own thread and samples on an interval, so most of its work is off the workload's wall; the row reads the noise it adds
